Número de póliza,Fecha de inicio,Fecha de vencimiento,Tipo de cobertura,Modelo del coche,Año del coche,Valor asegurado,Deducible,Estado del seguro,Gastos médicos,Daños a terceros
P000002509,2025-03-07,2026-03-07,Responsabilidad civil,Kia Forte,2020,15253,500,Vencido,1,0
P000002510,2022-08-07,2023-08-07,Cobertura amplia,Volkswagen Jetta,2014,31240,700,Vencido,0,1
P000002511,2024-07-17,2025-07-17,Cobertura amplia,Mazda 3,2021,46218,600,Al día,0,1
P000002512,2022-01-25,2023-01-25,Cobertura de robo,Toyota Corolla,2019,30979,500,Vencido,0,0
P000002513,2022-02-02,2023-02-02,Cobertura de robo,Chevrolet Cruze,2017,31709,700,Vencido,0,1
P000002514,2024-11-05,2025-11-05,Cobertura de colisión,Volkswagen Jetta,2015,47036,700,Vencido,1,0
P000002515,2024-06-08,2025-06-08,Cobertura de colisión,Chevrolet Cruze,2011,46559,700,Vencido,0,0
P000002516,2020-04-29,2021-04-29,Cobertura de robo,Toyota Corolla,2015,48239,700,Vencido,0,0
P000002517,2022-03-19,2023-03-19,Cobertura amplia,Ford Focus,2014,37922,500,Vencido,0,0
P000002518,2025-01-15,2026-01-15,Cobertura de robo,Kia Forte,2018,40628,500,Al día,0,0
P000002519,2024-10-25,2025-10-25,Cobertura de robo,Nissan Sentra,2012,17248,500,Vencido,1,0
P000002520,2024-05-11,2025-05-11,Cobertura amplia,Toyota Corolla,2016,22962,700,Al día,1,1
P000002521,2020-01-19,2021-01-18,Cobertura total,Hyundai Elantra,2022,34476,500,Al día,0,0
P000002522,2022-05-29,2023-05-29,Responsabilidad civil,Kia Forte,2014,25520,700,Al día,1,1
P000002523,2022-04-22,2023-04-22,Cobertura total,Nissan Sentra,2012,24592,600,Vencido,1,1
P000002524,2023-02-14,2024-02-14,Cobertura total,Subaru Impreza,2018,41607,500,Al día,1,0
P000002525,2020-09-13,2021-09-13,Cobertura total,Nissan Sentra,2015,45763,600,Al día,1,1
P000002526,2021-02-20,2022-02-20,Responsabilidad civil,Kia Forte,2012,24797,600,Vencido,1,0
P000002527,2022-02-04,2023-02-04,Cobertura de colisión,Chevrolet Cruze,2012,33953,700,Vencido,0,0
P000002528,2024-02-07,2025-02-06,Cobertura amplia,Honda Civic,2017,23856,500,Vencido,0,0
P000002529,2023-08-28,2024-08-27,Cobertura de robo,Toyota Corolla,2015,39700,500,Vencido,0,1
P000002530,2022-03-18,2023-03-18,Responsabilidad civil,Toyota Corolla,2015,18748,500,Vencido,0,0
P000002531,2025-02-17,2026-02-17,Responsabilidad civil,Hyundai Elantra,2020,13568,500,Vencido,0,1
P000002532,2021-04-11,2022-04-11,Cobertura amplia,Chevrolet Cruze,2016,18083,600,Al día,1,0
P000002533,2022-12-10,2023-12-10,Cobertura de robo,Ford Focus,2018,17891,700,Vencido,0,0
P000002534,2025-06-27,2026-06-27,Cobertura total,Hyundai Elantra,2019,41232,700,Vencido,0,0
P000002535,2025-12-01,2026-12-01,Cobertura de colisión,Volkswagen Jetta,2022,41218,600,Al día,0,0
P000002536,2023-07-07,2024-07-06,Cobertura amplia,Toyota Corolla,2016,19534,700,Vencido,0,0
P000002537,2024-05-10,2025-05-10,Cobertura total,Nissan Sentra,2022,11348,500,Vencido,0,1
P000002538,2024-05-26,2025-05-26,Cobertura total,Toyota Corolla,2020,10173,500,Vencido,0,0
P000002539,2021-04-12,2022-04-12,Cobertura de colisión,Hyundai Elantra,2014,37634,500,Al día,0,1
P000002540,2023-11-26,2024-11-25,Cobertura total,Honda Civic,2021,36217,700,Vencido,1,1
P000002541,2023-12-12,2024-12-11,Cobertura amplia,Chevrolet Cruze,2022,31392,600,Vencido,0,0
P000002542,2025-02-18,2026-02-18,Responsabilidad civil,Toyota Corolla,2021,27918,700,Al día,0,1
P000002543,2021-12-07,2022-12-07,Cobertura de colisión,Subaru Impreza,2013,25219,500,Vencido,1,1
P000002544,2023-05-03,2024-05-02,Responsabilidad civil,Nissan Sentra,2017,10672,600,Vencido,0,0
P000002545,2020-12-13,2021-12-13,Cobertura de robo,Kia Forte,2018,31261,500,Vencido,1,1
P000002546,2021-07-02,2022-07-02,Responsabilidad civil,Toyota Corolla,2011,32055,600,Vencido,1,1
P000002547,2023-07-06,2024-07-05,Cobertura de colisión,Toyota Corolla,2019,11865,600,Vencido,1,1
P000002548,2021-04-27,2022-04-27,Cobertura total,Toyota Corolla,2020,42051,600,Vencido,1,0
P000002549,2022-09-04,2023-09-04,Cobertura de robo,Ford Focus,2014,43618,600,Al día,1,1
P000002550,2023-06-04,2024-06-03,Cobertura de robo,Chevrolet Cruze,2017,34137,500,Vencido,1,0
P000002551,2021-04-24,2022-04-24,Cobertura de colisión,Kia Forte,2018,35313,700,Vencido,0,0
P000002552,2022-01-19,2023-01-19,Responsabilidad civil,Nissan Sentra,2017,22575,700,Al día,1,1
P000002553,2024-03-09,2025-03-09,Cobertura de colisión,Nissan Sentra,2013,23157,600,Al día,1,0
P000002554,2021-08-02,2022-08-02,Cobertura de colisión,Kia Forte,2019,38875,500,Vencido,1,0
P000002555,2025-09-23,2026-09-23,Cobertura amplia,Honda Civic,2012,33392,500,Vencido,1,1
P000002556,2024-05-10,2025-05-10,Cobertura amplia,Kia Forte,2015,44164,600,Vencido,0,1
P000002557,2024-09-09,2025-09-09,Cobertura de robo,Chevrolet Cruze,2012,10024,500,Vencido,0,0
P000002558,2021-07-18,2022-07-18,Cobertura de colisión,Honda Civic,2013,14324,700,Al día,0,1
P000002559,2024-04-20,2025-04-20,Cobertura de robo,Toyota Corolla,2020,43317,700,Al día,1,0
P000002560,2024-09-28,2025-09-28,Cobertura de colisión,Ford Focus,2019,39862,700,Al día,0,1
P000002561,2022-01-30,2023-01-30,Cobertura total,Toyota Corolla,2020,44514,500,Vencido,0,1
P000002562,2025-06-16,2026-06-16,Cobertura amplia,Honda Civic,2012,15509,500,Vencido,0,1
P000002563,2021-12-10,2022-12-10,Cobertura de robo,Volkswagen Jetta,2017,25998,500,Vencido,1,0
P000002564,2021-11-14,2022-11-14,Responsabilidad civil,Nissan Sentra,2015,31575,700,Al día,1,0
P000002565,2025-06-28,2026-06-28,Cobertura total,Subaru Impreza,2013,24333,700,Vencido,1,0
P000002566,2023-03-29,2024-03-28,Cobertura de robo,Toyota Corolla,2010,39480,500,Vencido,1,0
P000002567,2021-07-28,2022-07-28,Cobertura amplia,Nissan Sentra,2012,28783,500,Al día,0,0
P000002568,2022-02-05,2023-02-05,Cobertura de robo,Volkswagen Jetta,2012,16397,500,Vencido,1,1
P000002569,2023-07-12,2024-07-11,Responsabilidad civil,Kia Forte,2016,46007,700,Vencido,1,1
P000002570,2025-01-21,2026-01-21,Cobertura total,Ford Focus,2011,22620,600,Al día,0,0
P000002571,2020-08-07,2021-08-07,Cobertura de colisión,Kia Forte,2021,17982,600,Al día,0,1
P000002572,2024-01-10,2025-01-09,Cobertura de colisión,Hyundai Elantra,2022,30409,500,Vencido,0,1
P000002573,2020-02-09,2021-02-08,Cobertura amplia,Chevrolet Cruze,2014,32328,600,Al día,0,0
P000002574,2025-06-07,2026-06-07,Cobertura amplia,Mazda 3,2014,47560,500,Al día,1,0
P000002575,2021-07-13,2022-07-13,Responsabilidad civil,Mazda 3,2018,46660,700,Vencido,0,1
P000002576,2022-03-10,2023-03-10,Cobertura amplia,Kia Forte,2018,15165,600,Al día,1,0
P000002577,2024-04-21,2025-04-21,Cobertura amplia,Ford Focus,2018,15665,600,Al día,1,1
P000002578,2025-09-01,2026-09-01,Cobertura de robo,Volkswagen Jetta,2019,26254,500,Al día,1,0
P000002579,2025-07-20,2026-07-20,Cobertura amplia,Kia Forte,2019,47256,700,Al día,0,0
P000002580,2024-08-02,2025-08-02,Cobertura de colisión,Nissan Sentra,2016,21360,600,Al día,0,1
P000002581,2025-07-07,2026-07-07,Cobertura de colisión,Volkswagen Jetta,2017,22007,600,Al día,0,0
P000002582,2024-08-29,2025-08-29,Cobertura de colisión,Mazda 3,2015,43150,600,Al día,1,0
P000002583,2024-12-23,2025-12-23,Cobertura de colisión,Toyota Corolla,2021,48472,600,Vencido,1,1
P000002584,2025-06-24,2026-06-24,Responsabilidad civil,Kia Forte,2019,13394,700,Vencido,1,1
P000002585,2021-11-16,2022-11-16,Cobertura total,Ford Focus,2010,18698,700,Al día,1,1
P000002586,2020-12-04,2021-12-04,Cobertura de colisión,Ford Focus,2022,22616,500,Al día,0,0
P000002587,2020-05-06,2021-05-06,Cobertura amplia,Toyota Corolla,2019,35454,500,Al día,1,1
P000002588,2022-06-22,2023-06-22,Cobertura de robo,Honda Civic,2016,49069,600,Vencido,1,1
P000002589,2023-04-11,2024-04-10,Cobertura amplia,Nissan Sentra,2022,21494,600,Al día,0,1
P000002590,2020-05-13,2021-05-13,Responsabilidad civil,Nissan Sentra,2021,33131,500,Vencido,1,1
P000002591,2023-01-30,2024-01-30,Responsabilidad civil,Ford Focus,2011,41642,700,Al día,0,0
P000002592,2022-07-09,2023-07-09,Cobertura de robo,Kia Forte,2020,28798,600,Al día,1,0
P000002593,2023-03-28,2024-03-27,Cobertura amplia,Toyota Corolla,2014,34466,600,Al día,1,0
P000002594,2021-11-19,2022-11-19,Cobertura amplia,Honda Civic,2013,14219,600,Vencido,0,0
P000002595,2025-02-16,2026-02-16,Cobertura de colisión,Toyota Corolla,2013,15255,600,Vencido,1,0
P000002596,2025-07-21,2026-07-21,Responsabilidad civil,Subaru Impreza,2017,35874,600,Al día,0,1
P000002597,2025-09-23,2026-09-23,Cobertura de colisión,Volkswagen Jetta,2011,24719,500,Al día,0,0
P000002598,2021-04-08,2022-04-08,Cobertura de colisión,Kia Forte,2011,11363,700,Al día,0,0
P000002599,2021-04-12,2022-04-12,Responsabilidad civil,Toyota Corolla,2022,23201,700,Al día,1,1
P000002600,2023-01-02,2024-01-02,Cobertura total,Toyota Corolla,2021,45890,700,Vencido,0,0
P000002601,2024-02-11,2025-02-10,Cobertura de robo,Nissan Sentra,2017,36504,600,Al día,0,1
P000002602,2020-06-19,2021-06-19,Cobertura amplia,Ford Focus,2016,35225,500,Al día,1,0
P000002603,2024-12-12,2025-12-12,Cobertura de colisión,Subaru Impreza,2013,30266,600,Al día,0,1
P000002604,2022-06-14,2023-06-14,Cobertura de colisión,Volkswagen Jetta,2012,16102,600,Vencido,1,1
P000002605,2024-10-07,2025-10-07,Responsabilidad civil,Subaru Impreza,2020,31568,500,Al día,0,0
P000002606,2021-02-23,2022-02-23,Cobertura de colisión,Honda Civic,2020,15097,500,Vencido,0,0
P000002607,2022-10-10,2023-10-10,Cobertura total,Subaru Impreza,2012,24522,700,Vencido,1,0
P000002608,2023-05-04,2024-05-03,Cobertura total,Volkswagen Jetta,2016,24360,600,Vencido,0,0
P000002609,2020-05-12,2021-05-12,Cobertura de robo,Honda Civic,2021,48352,600,Vencido,1,0
P000002610,2025-01-16,2026-01-16,Cobertura total,Hyundai Elantra,2018,18706,600,Vencido,1,1
P000002611,2022-12-12,2023-12-12,Cobertura amplia,Kia Forte,2017,33451,600,Vencido,0,1
P000002612,2023-11-28,2024-11-27,Cobertura de robo,Toyota Corolla,2015,15091,500,Vencido,1,0
P000002613,2020-12-22,2021-12-22,Cobertura amplia,Hyundai Elantra,2019,12648,700,Al día,1,0
P000002614,2024-12-03,2025-12-03,Cobertura de robo,Hyundai Elantra,2019,17804,700,Al día,1,0
P000002615,2021-04-25,2022-04-25,Responsabilidad civil,Volkswagen Jetta,2015,26858,600,Al día,1,1
P000002616,2022-08-28,2023-08-28,Cobertura de robo,Chevrolet Cruze,2022,42499,500,Vencido,0,1
P000002617,2022-05-09,2023-05-09,Cobertura total,Subaru Impreza,2021,28904,500,Al día,1,0
P000002618,2023-12-07,2024-12-06,Responsabilidad civil,Honda Civic,2021,13137,600,Vencido,1,1
P000002619,2024-10-19,2025-10-19,Cobertura amplia,Ford Focus,2016,44633,500,Vencido,0,0
P000002620,2021-11-10,2022-11-10,Cobertura de colisión,Mazda 3,2015,27066,500,Vencido,0,0
P000002621,2021-07-24,2022-07-24,Cobertura total,Kia Forte,2013,21624,700,Al día,0,0
P000002622,2022-04-26,2023-04-26,Cobertura de robo,Toyota Corolla,2013,35481,500,Al día,1,0
P000002623,2022-04-27,2023-04-27,Cobertura de robo,Nissan Sentra,2021,43034,600,Vencido,0,1
P000002624,2020-08-31,2021-08-31,Cobertura de colisión,Chevrolet Cruze,2019,38432,700,Al día,1,0
P000002625,2023-12-07,2024-12-06,Cobertura total,Kia Forte,2017,44183,700,Al día,0,1
P000002626,2025-12-20,2026-12-20,Cobertura amplia,Hyundai Elantra,2013,29398,500,Vencido,0,1
P000002627,2023-02-25,2024-02-25,Responsabilidad civil,Honda Civic,2015,37799,500,Al día,1,0
P000002628,2021-11-20,2022-11-20,Cobertura amplia,Volkswagen Jetta,2015,43414,600,Al día,0,1
P000002629,2023-08-18,2024-08-17,Cobertura de robo,Chevrolet Cruze,2020,36318,600,Al día,0,1
P000002630,2023-04-13,2024-04-12,Cobertura amplia,Toyota Corolla,2010,11207,700,Vencido,1,1
P000002631,2023-03-31,2024-03-30,Cobertura de robo,Volkswagen Jetta,2014,33192,600,Vencido,0,0
P000002632,2022-12-31,2023-12-31,Cobertura total,Honda Civic,2014,12223,700,Vencido,1,0
P000002633,2025-10-08,2026-10-08,Cobertura amplia,Hyundai Elantra,2021,25795,500,Vencido,0,1
P000002634,2021-01-25,2022-01-25,Cobertura amplia,Toyota Corolla,2017,17918,600,Vencido,1,1
P000002635,2021-07-09,2022-07-09,Responsabilidad civil,Volkswagen Jetta,2014,27557,600,Vencido,0,0
P000002636,2024-08-12,2025-08-12,Cobertura de robo,Toyota Corolla,2010,12994,500,Vencido,0,0
P000002637,2020-08-30,2021-08-30,Cobertura de colisión,Ford Focus,2021,22913,600,Al día,1,0
P000002638,2023-02-09,2024-02-09,Cobertura de robo,Toyota Corolla,2015,30758,700,Al día,1,0
P000002639,2021-06-03,2022-06-03,Cobertura de colisión,Honda Civic,2016,29156,500,Vencido,1,1
P000002640,2021-06-27,2022-06-27,Cobertura de robo,Ford Focus,2015,31296,500,Al día,0,1
P000002641,2022-10-19,2023-10-19,Cobertura amplia,Kia Forte,2020,28343,700,Al día,0,1
P000002642,2021-08-22,2022-08-22,Responsabilidad civil,Mazda 3,2018,22010,700,Vencido,0,0
P000002643,2023-08-12,2024-08-11,Cobertura de robo,Chevrolet Cruze,2013,35148,600,Vencido,1,0
P000002644,2022-10-10,2023-10-10,Responsabilidad civil,Honda Civic,2018,30619,500,Vencido,0,0
P000002645,2024-05-27,2025-05-27,Cobertura amplia,Kia Forte,2022,29354,700,Al día,1,1
P000002646,2025-06-27,2026-06-27,Cobertura de robo,Honda Civic,2021,43427,700,Al día,0,1
P000002647,2021-08-05,2022-08-05,Responsabilidad civil,Toyota Corolla,2016,39450,600,Al día,1,1
P000002648,2023-01-05,2024-01-05,Cobertura amplia,Volkswagen Jetta,2014,42973,500,Al día,0,0
P000002649,2024-08-23,2025-08-23,Cobertura de robo,Ford Focus,2015,16813,700,Al día,1,0
P000002650,2024-03-16,2025-03-16,Cobertura amplia,Mazda 3,2017,41607,600,Vencido,1,0
P000002651,2025-01-25,2026-01-25,Responsabilidad civil,Kia Forte,2011,37046,700,Vencido,1,0
P000002652,2020-11-05,2021-11-05,Cobertura de colisión,Toyota Corolla,2018,30768,500,Al día,1,0
P000002653,2021-01-16,2022-01-16,Cobertura amplia,Hyundai Elantra,2022,45921,500,Al día,0,0
P000002654,2024-07-08,2025-07-08,Cobertura amplia,Toyota Corolla,2013,38183,500,Al día,1,0
P000002655,2025-10-12,2026-10-12,Cobertura amplia,Nissan Sentra,2017,39778,600,Vencido,1,0
P000002656,2023-02-13,2024-02-13,Cobertura amplia,Volkswagen Jetta,2011,49645,700,Al día,0,1
P000002657,2024-02-20,2025-02-19,Cobertura amplia,Hyundai Elantra,2020,45231,500,Al día,0,1
P000002658,2025-02-05,2026-02-05,Cobertura amplia,Toyota Corolla,2022,30458,600,Vencido,1,1
P000002659,2025-06-22,2026-06-22,Cobertura de robo,Nissan Sentra,2021,14571,600,Vencido,0,0
P000002660,2023-09-02,2024-09-01,Cobertura total,Mazda 3,2014,29024,700,Vencido,0,0
P000002661,2020-01-11,2021-01-10,Cobertura de colisión,Toyota Corolla,2010,19073,600,Al día,1,0
P000002662,2021-01-16,2022-01-16,Cobertura total,Honda Civic,2017,23448,600,Vencido,0,1
P000002663,2025-02-20,2026-02-20,Responsabilidad civil,Subaru Impreza,2011,43580,600,Al día,1,1
P000002664,2024-01-07,2025-01-06,Cobertura de colisión,Subaru Impreza,2010,48876,700,Al día,0,1
P000002665,2020-09-16,2021-09-16,Cobertura de colisión,Honda Civic,2019,42129,500,Al día,1,1
P000002666,2025-12-29,2026-12-29,Cobertura de robo,Ford Focus,2017,13411,500,Vencido,1,0
P000002667,2024-06-17,2025-06-17,Cobertura amplia,Kia Forte,2016,32288,500,Al día,0,1
P000002668,2022-06-11,2023-06-11,Cobertura total,Mazda 3,2011,38832,600,Vencido,0,0
P000002669,2024-10-25,2025-10-25,Cobertura de robo,Chevrolet Cruze,2014,20540,700,Al día,1,1
P000002670,2022-05-17,2023-05-17,Cobertura total,Ford Focus,2012,16299,700,Al día,0,0
P000002671,2025-07-19,2026-07-19,Cobertura total,Nissan Sentra,2019,46642,600,Al día,1,0
P000002672,2023-01-04,2024-01-04,Cobertura de colisión,Hyundai Elantra,2014,15242,600,Al día,1,0
P000002673,2023-08-15,2024-08-14,Cobertura de robo,Kia Forte,2015,14338,500,Vencido,1,0
P000002674,2023-03-07,2024-03-06,Cobertura de colisión,Nissan Sentra,2018,26531,500,Al día,1,1
P000002675,2023-10-15,2024-10-14,Cobertura total,Nissan Sentra,2014,23143,600,Al día,1,0
P000002676,2021-06-18,2022-06-18,Cobertura amplia,Chevrolet Cruze,2022,27772,700,Al día,1,1
P000002677,2025-06-10,2026-06-10,Cobertura amplia,Mazda 3,2011,14786,500,Al día,0,1
P000002678,2023-11-08,2024-11-07,Cobertura total,Chevrolet Cruze,2011,16084,700,Al día,0,1
P000002679,2020-07-17,2021-07-17,Responsabilidad civil,Hyundai Elantra,2014,29266,700,Vencido,0,1
P000002680,2020-07-07,2021-07-07,Cobertura total,Ford Focus,2013,37483,500,Vencido,1,0
P000002681,2021-02-11,2022-02-11,Responsabilidad civil,Honda Civic,2010,18517,700,Vencido,0,1
P000002682,2025-02-25,2026-02-25,Cobertura total,Chevrolet Cruze,2011,19181,600,Vencido,0,1
P000002683,2020-03-07,2021-03-07,Cobertura de colisión,Honda Civic,2013,22313,600,Al día,0,0
P000002684,2021-05-23,2022-05-23,Responsabilidad civil,Nissan Sentra,2013,26042,500,Al día,0,1
P000002685,2021-10-09,2022-10-09,Cobertura amplia,Mazda 3,2020,32831,500,Vencido,1,0
P000002686,2024-12-12,2025-12-12,Cobertura de colisión,Subaru Impreza,2012,44029,500,Al día,1,1
P000002687,2025-02-12,2026-02-12,Responsabilidad civil,Chevrolet Cruze,2011,25095,500,Vencido,1,0
P000002688,2020-01-03,2021-01-02,Responsabilidad civil,Toyota Corolla,2015,13176,700,Al día,1,1
P000002689,2024-10-18,2025-10-18,Responsabilidad civil,Honda Civic,2015,43718,700,Vencido,1,0
P000002690,2022-04-08,2023-04-08,Cobertura de colisión,Kia Forte,2016,42673,500,Al día,1,0
P000002691,2021-06-24,2022-06-24,Cobertura de colisión,Kia Forte,2011,44187,600,Vencido,0,0
P000002692,2023-05-21,2024-05-20,Cobertura total,Toyota Corolla,2015,33614,700,Vencido,0,0
P000002693,2021-10-13,2022-10-13,Cobertura total,Ford Focus,2018,47662,700,Vencido,1,1
P000002694,2023-01-27,2024-01-27,Cobertura de robo,Chevrolet Cruze,2014,35977,600,Vencido,1,0
P000002695,2021-01-17,2022-01-17,Cobertura de robo,Toyota Corolla,2019,14246,500,Al día,1,1
P000002696,2024-01-16,2025-01-15,Cobertura de robo,Toyota Corolla,2017,37663,600,Vencido,0,1
P000002697,2022-10-22,2023-10-22,Cobertura de colisión,Ford Focus,2019,24377,500,Vencido,0,0
P000002698,2020-12-03,2021-12-03,Responsabilidad civil,Toyota Corolla,2011,25079,700,Vencido,0,1
P000002699,2024-03-03,2025-03-03,Cobertura total,Nissan Sentra,2013,25583,500,Al día,1,1
P000002700,2021-11-08,2022-11-08,Cobertura amplia,Toyota Corolla,2021,30954,600,Vencido,1,0
P000002701,2020-07-31,2021-07-31,Cobertura de colisión,Chevrolet Cruze,2012,16603,600,Al día,1,0
P000002702,2024-06-11,2025-06-11,Cobertura de robo,Chevrolet Cruze,2018,11795,500,Vencido,0,1
P000002703,2023-06-05,2024-06-04,Cobertura amplia,Honda Civic,2011,40675,700,Vencido,0,0
P000002704,2022-08-17,2023-08-17,Cobertura de robo,Chevrolet Cruze,2014,20823,700,Vencido,1,0
P000002705,2024-10-24,2025-10-24,Responsabilidad civil,Toyota Corolla,2010,40171,600,Vencido,1,1
P000002706,2021-01-08,2022-01-08,Cobertura de robo,Hyundai Elantra,2013,39028,600,Vencido,0,1
P000002707,2021-01-24,2022-01-24,Cobertura total,Honda Civic,2012,26887,700,Al día,1,0
P000002708,2020-01-05,2021-01-04,Cobertura total,Toyota Corolla,2012,39901,700,Al día,1,1
P000002709,2022-05-24,2023-05-24,Cobertura de robo,Chevrolet Cruze,2010,12554,600,Al día,0,0
P000002710,2025-05-07,2026-05-07,Cobertura amplia,Hyundai Elantra,2018,26529,700,Al día,1,0
P000002711,2020-11-15,2021-11-15,Responsabilidad civil,Kia Forte,2017,36971,500,Vencido,1,1
P000002712,2021-06-27,2022-06-27,Cobertura de robo,Honda Civic,2020,26412,500,Al día,0,1
P000002713,2022-07-15,2023-07-15,Cobertura de colisión,Toyota Corolla,2013,23875,500,Vencido,0,0
P000002714,2025-10-28,2026-10-28,Cobertura de colisión,Chevrolet Cruze,2021,43251,500,Al día,0,1
P000002715,2024-12-27,2025-12-27,Cobertura de robo,Toyota Corolla,2010,25850,500,Vencido,0,0
P000002716,2020-02-08,2021-02-07,Cobertura de robo,Chevrolet Cruze,2016,33270,700,Al día,1,0
P000002717,2020-02-03,2021-02-02,Cobertura de robo,Ford Focus,2010,31835,700,Al día,0,0
P000002718,2023-11-08,2024-11-07,Cobertura amplia,Volkswagen Jetta,2016,49885,500,Vencido,1,0
P000002719,2021-05-08,2022-05-08,Cobertura amplia,Hyundai Elantra,2015,28669,600,Vencido,1,1
P000002720,2024-09-25,2025-09-25,Cobertura de colisión,Toyota Corolla,2014,40883,600,Al día,0,0
P000002721,2021-06-25,2022-06-25,Responsabilidad civil,Honda Civic,2020,19766,600,Al día,1,1
P000002722,2025-05-10,2026-05-10,Cobertura de robo,Subaru Impreza,2017,25706,600,Al día,0,0
P000002723,2020-10-17,2021-10-17,Cobertura de colisión,Kia Forte,2021,22263,500,Vencido,1,0
P000002724,2022-07-26,2023-07-26,Cobertura amplia,Nissan Sentra,2020,36828,600,Al día,1,1
P000002725,2024-04-18,2025-04-18,Cobertura de colisión,Volkswagen Jetta,2019,43160,700,Al día,1,0
P000002726,2020-12-31,2021-12-31,Cobertura de robo,Subaru Impreza,2016,16119,700,Vencido,0,1
P000002727,2021-02-23,2022-02-23,Cobertura total,Honda Civic,2017,38869,600,Al día,1,0
P000002728,2021-02-26,2022-02-26,Responsabilidad civil,Honda Civic,2017,15036,700,Vencido,1,1
P000002729,2023-07-07,2024-07-06,Cobertura amplia,Honda Civic,2015,17854,600,Al día,0,0
P000002730,2024-02-14,2025-02-13,Cobertura total,Volkswagen Jetta,2017,33013,600,Al día,0,0
P000002731,2023-05-10,2024-05-09,Cobertura total,Honda Civic,2017,25183,500,Vencido,0,0
P000002732,2021-07-15,2022-07-15,Cobertura de robo,Toyota Corolla,2012,39214,600,Al día,0,1
P000002733,2024-04-16,2025-04-16,Cobertura amplia,Toyota Corolla,2012,47211,700,Vencido,0,0
P000002734,2021-06-29,2022-06-29,Cobertura de robo,Ford Focus,2019,42929,600,Vencido,0,0
P000002735,2021-08-08,2022-08-08,Cobertura de robo,Chevrolet Cruze,2014,13879,700,Vencido,0,1
P000002736,2020-10-07,2021-10-07,Cobertura de robo,Ford Focus,2017,42707,500,Vencido,0,1
P000002737,2025-12-12,2026-12-12,Cobertura amplia,Toyota Corolla,2012,38217,500,Al día,0,1
P000002738,2020-02-04,2021-02-03,Cobertura amplia,Honda Civic,2010,48752,500,Al día,1,1
P000002739,2021-11-03,2022-11-03,Cobertura de colisión,Volkswagen Jetta,2013,18778,700,Al día,0,0
P000002740,2024-12-07,2025-12-07,Cobertura de colisión,Mazda 3,2014,45862,500,Vencido,0,1
P000002741,2023-12-09,2024-12-08,Cobertura de colisión,Honda Civic,2017,33873,700,Al día,0,1
P000002742,2022-05-22,2023-05-22,Cobertura de colisión,Toyota Corolla,2021,31245,700,Al día,0,1
P000002743,2021-09-12,2022-09-12,Cobertura amplia,Nissan Sentra,2013,22438,600,Vencido,0,1
P000002744,2024-08-13,2025-08-13,Cobertura de robo,Toyota Corolla,2017,37140,600,Vencido,1,0
P000002745,2024-12-17,2025-12-17,Cobertura de colisión,Volkswagen Jetta,2020,25053,500,Al día,1,0
P000002746,2022-06-08,2023-06-08,Responsabilidad civil,Toyota Corolla,2020,35731,500,Al día,0,0
P000002747,2020-12-21,2021-12-21,Cobertura amplia,Mazda 3,2022,28310,600,Al día,1,0
P000002748,2021-02-15,2022-02-15,Cobertura total,Kia Forte,2022,46256,600,Vencido,1,0
P000002749,2021-07-27,2022-07-27,Cobertura de robo,Volkswagen Jetta,2011,42058,500,Vencido,1,1
P000002750,2021-05-19,2022-05-19,Cobertura amplia,Toyota Corolla,2016,33288,600,Al día,0,1
P000002751,2024-04-21,2025-04-21,Cobertura de robo,Hyundai Elantra,2011,49001,500,Vencido,1,0
P000002752,2023-12-10,2024-12-09,Cobertura de colisión,Chevrolet Cruze,2012,42095,700,Vencido,1,1
P000002753,2024-10-24,2025-10-24,Responsabilidad civil,Hyundai Elantra,2020,37878,500,Al día,1,1
P000002754,2023-07-12,2024-07-11,Cobertura de robo,Honda Civic,2015,26696,500,Vencido,0,0
P000002755,2021-07-26,2022-07-26,Cobertura total,Subaru Impreza,2013,15827,700,Vencido,0,0
P000002756,2022-10-11,2023-10-11,Cobertura amplia,Nissan Sentra,2022,19835,600,Vencido,1,1
P000002757,2023-02-08,2024-02-08,Cobertura amplia,Nissan Sentra,2018,44700,600,Vencido,1,0
P000002758,2020-12-11,2021-12-11,Cobertura total,Toyota Corolla,2013,18287,700,Vencido,0,1
P000002759,2022-10-13,2023-10-13,Cobertura amplia,Honda Civic,2018,16961,700,Vencido,1,0
P000002760,2023-03-13,2024-03-12,Cobertura de colisión,Honda Civic,2014,39572,600,Al día,0,0
P000002761,2020-04-19,2021-04-19,Cobertura amplia,Toyota Corolla,2019,47017,500,Al día,1,1
P000002762,2023-05-20,2024-05-19,Cobertura amplia,Nissan Sentra,2016,18956,600,Al día,1,1
P000002763,2022-04-21,2023-04-21,Cobertura de colisión,Ford Focus,2017,43870,500,Al día,1,1
P000002764,2025-10-21,2026-10-21,Cobertura de robo,Kia Forte,2015,43367,700,Vencido,1,0
P000002765,2025-09-18,2026-09-18,Responsabilidad civil,Chevrolet Cruze,2013,49756,600,Vencido,1,1
P000002766,2022-02-11,2023-02-11,Cobertura total,Toyota Corolla,2012,18297,700,Al día,0,0
P000002767,2024-05-23,2025-05-23,Cobertura de robo,Nissan Sentra,2010,10883,600,Vencido,0,0
P000002768,2023-04-25,2024-04-24,Cobertura de robo,Toyota Corolla,2012,26007,500,Vencido,0,0
P000002769,2020-08-11,2021-08-11,Cobertura total,Honda Civic,2022,39480,500,Vencido,0,0
